date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:16	767/767	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:30%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/icons.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/icons.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:16	4605/4605	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:44:25%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidebar/sidebar.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidebar/sidebar.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:17	3569/3569	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:49:08%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/css/nice-select.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/css/nice-select.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:17	12020/12020	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:45:45%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/switcher/css/switcher.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/switcher/css/switcher.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:18	5438/5438	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:39:06%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/switcher/demo.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/switcher/demo.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:19	162694/162694	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:33%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/skins.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/skins.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:19	86659/86659	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:24%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery-3.2.1.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery-3.2.1.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:21	51638/51638	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:43:54%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/moment/moment.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/moment/moment.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:21	69267/69267	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:24%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/bootstrap.bundle.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/bootstrap.bundle.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:21	43149/43149	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:24%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery.sparkline.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery.sparkline.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
