date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:05:27	4605/4605	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:44:25%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidebar/sidebar.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidebar/sidebar.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:27	2591/2591	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:44:13%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/p-scroll/p-scroll.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/p-scroll/p-scroll.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:27	767/767	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:30%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/icons.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/icons.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:27	12020/12020	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:45:45%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/switcher/css/switcher.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/switcher/css/switcher.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:27	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2026%20Apr%202022%2002:05:28%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/images/products/b5.png	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/images/products/b5.png	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
03:05:27	162694/162694	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:33%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/skins.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/skins.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:28	5438/5438	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:39:06%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/switcher/demo.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/switcher/demo.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:28	3569/3569	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:49:08%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/css/nice-select.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/css/nice-select.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:28	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2026%20Apr%202022%2002:05:29%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/images/photos/clouds.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/images/photos/clouds.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
03:05:29	86659/86659	U-----	200	untouched ('')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:24%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery-3.2.1.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery-3.2.1.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:29	51638/51638	U-----	200	untouched ('')	application/javascript	date:Tue,%2020%20Oct%202020%2012:43:54%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/moment/moment.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/moment/moment.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:29	43149/43149	U-----	200	untouched ('')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:24%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery.sparkline.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/jquery.sparkline.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:29	71115/71115	U-----	200	untouched ('')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:38%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
